epoch,learning_rate,train_loss,train_accuracy,train_accuracy_background,train_accuracy_cloud,train_accuracy_shadow,train_iou,train_iou_background,train_iou_cloud,train_iou_shadow,train_precision,train_precision_background,train_precision_cloud,train_precision_shadow,train_recall,train_recall_background,train_recall_cloud,train_recall_shadow,train_f1-score,train_f1-score_background,train_f1-score_cloud,train_f1-score_shadow,val_loss,val_accuracy,val_accuracy_background,val_accuracy_cloud,val_accuracy_shadow,val_iou,val_iou_background,val_iou_cloud,val_iou_shadow,val_precision,val_precision_background,val_precision_cloud,val_precision_shadow,val_recall,val_recall_background,val_recall_cloud,val_recall_shadow,val_f1-score,val_f1-score_background,val_f1-score_cloud,val_f1-score_shadow
1,0.0001,0.2990456594,0.8354011355,0.8364464129,0.8746206403,0.9597352178,0.5882957556,0.7659642048,0.692473635,0.306449427,0.6804601757,0.9645556257,0.7125791443,0.3642457572,0.8026179828,0.7881480232,0.9608497785,0.6588561466,0.7183017156,0.8674742134,0.8182976924,0.469133241,1.145365035,0.7867549966,0.7870971042,0.8725331359,0.9138797531,0.5269238424,0.706440611,0.663569719,0.2107611972,0.8326455491,0.7537632568,0.8538248876,0.8903485027,0.6277917334,0.9183827228,0.7486148875,0.21637759,0.657960802,0.8279697593,0.7977660466,0.3481466001
2,0.0001,0.230846905,0.8793155578,0.8794509807,0.9075606153,0.9716195196,0.6623099194,0.8269926358,0.7542454517,0.4056916707,0.7427584978,0.9703368562,0.7751013251,0.4828373122,0.843813848,0.8484422041,0.965554385,0.7174449549,0.7808088025,0.9053048376,0.8599086871,0.5772128826,1.253781114,0.7809889273,0.7815797572,0.8589661202,0.9214319772,0.549965814,0.7112540033,0.5868439336,0.3517995051,0.8250909839,0.7495551226,0.859911108,0.8658067209,0.651313189,0.9329726458,0.6488788782,0.372088043,0.6971312317,0.8312664302,0.7396366097,0.5204906553
3,0.0001,0.1571921862,0.886138011,0.8861923683,0.9177405981,0.9683430557,0.6751050486,0.8349334539,0.7779909188,0.4123907732,0.7416263387,0.9824299965,0.7898508233,0.4525981962,0.8838054707,0.8475897845,0.9810652541,0.8227613736,0.7897127916,0.9100422166,0.8751348621,0.5839612959,1.062845587,0.7949277508,0.7969735672,0.8802121746,0.9126697597,0.5319049537,0.7268537958,0.6589715028,0.2098895624,0.8352431074,0.7951006976,0.7833224302,0.9273061945,0.6378826512,0.8943822492,0.805864897,0.2134008075,0.6610715686,0.84182436,0.7944337822,0.3469565635
4,0.0001,0.2069476569,0.8915903344,0.8916672664,0.9175755997,0.9739378028,0.6850912263,0.844163997,0.7754446912,0.4356649906,0.7602661899,0.9734565701,0.7953694522,0.5119725473,0.8592842636,0.8640527494,0.9687057001,0.7450943412,0.7986455828,0.9154977522,0.8735216535,0.6069173428,1.341599203,0.7743374889,0.774528104,0.8805788849,0.893567989,0.520020004,0.6900526742,0.6734864385,0.1965208995,0.8516083729,0.7309443827,0.860616739,0.963263997,0.6263182104,0.9250081225,0.7559416183,0.1980048904,0.6499941187,0.8166049315,0.8048902255,0.3284871991
5,0.0001,0.1459123269,0.8933336483,0.8933567061,0.923073297,0.9702372936,0.6887563873,0.8452641141,0.7892988852,0.4317061627,0.7520132466,0.983081297,0.8017162597,0.4712421832,0.8919263915,0.8577415839,0.9807545561,0.8372830344,0.8004844616,0.9161443151,0.8822437567,0.6030653131,1.090152067,0.7626611966,0.7647426321,0.864189444,0.8963903171,0.5329566503,0.675209081,0.6290569972,0.2946038726,0.8100690304,0.759908464,0.7436563259,0.9266423012,0.6543941682,0.8583140147,0.8032296963,0.3016387936,0.6778469803,0.8061191747,0.7722958721,0.4551258942
6,0.0001,0.1383624201,0.8994830733,0.8995038314,0.9276375076,0.9718248077,0.7009819356,0.8540319613,0.7994724731,0.4494413723,0.7611482107,0.9844119351,0.8114548761,0.4875778207,0.8997905416,0.865739803,0.9818645797,0.851767242,0.8099970536,0.9212699447,0.8885631595,0.6201580566,1.190001873,0.7809348946,0.7814402566,0.8576363635,0.9227931692,0.55285318,0.6937667033,0.6351403251,0.3296525115,0.8164460741,0.7505986817,0.8363721581,0.8623673824,0.6582738971,0.9016019755,0.7252603393,0.3479593766,0.6973036117,0.8191998366,0.7768633864,0.4958476123
7,0.0001,0.1924857356,0.9006795802,0.9007326711,0.9248027406,0.9758237487,0.7030837868,0.8570379276,0.7911780571,0.4610353757,0.7743556878,0.9751078288,0.8112780602,0.5366811742,0.8705667638,0.8762077129,0.9696358706,0.7658567079,0.8125134163,0.9230160729,0.8834164241,0.6311077519,1.489379118,0.7812776016,0.7813060421,0.8751767543,0.9060724069,0.5263310657,0.7032682904,0.654298951,0.2214259557,0.8502624888,0.7398793444,0.8717130115,0.9391951104,0.627641952,0.9342644761,0.7240150183,0.2246463615,0.659795043,0.8257868644,0.7910286718,0.3625695928
8,0.0001,0.1328738079,0.9039994072,0.9040142647,0.9308286683,0.9731558815,0.7101559167,0.8605245282,0.8066736344,0.4632695875,0.7684315157,0.9849959414,0.8185761019,0.5017225037,0.9040985112,0.8719541328,0.9822939554,0.8580474455,0.8170751298,0.9250343278,0.8929931992,0.6331978624,0.8499991335,0.8066128403,0.8072318917,0.8835044747,0.9224893143,0.5655729303,0.7111098506,0.7233191387,0.2622898017,0.8546900701,0.7919605902,0.8188150464,0.9532945736,0.6671044423,0.8744596067,0.8611494737,0.2657042467,0.6953982042,0.8311679701,0.8394488548,0.4155777878
9,0.0001,0.1779942029,0.9075749983,0.9076003258,0.9306752761,0.9768743946,0.7162165734,0.866708928,0.8047027887,0.4772380034,0.7838004821,0.9771538186,0.8236866977,0.5505609301,0.8795383481,0.8846351239,0.9721564724,0.781823448,0.8221673293,0.9285956851,0.8917842802,0.6461220226,1.259396984,0.7753793607,0.7756137548,0.8769609142,0.8981840523,0.5128703832,0.684496943,0.6852558889,0.1688583177,0.8374517484,0.7443122612,0.8268497283,0.9411932557,0.6218847221,0.8949308518,0.8000644702,0.1706588445,0.6382890498,0.8127019118,0.8132366051,0.2889286325
10,0.0001,0.126406468,0.9080442538,0.9080610464,0.9336525253,0.9743749359,0.719058112,0.8663224816,0.8131736299,0.4776782246,0.7752722883,0.985776893,0.8248926768,0.5151472952,0.9093239317,0.877288216,0.9828292358,0.8678543432,0.8239536253,0.9283738369,0.8969616769,0.6465253621,1.465411299,0.7622542196,0.7644040236,0.8623618055,0.8977426102,0.4882850577,0.6846853349,0.6279560932,0.1522137448,0.8219055165,0.7487586681,0.7818660718,0.9350918096,0.6013604121,0.888903803,0.7613382669,0.1538391665,0.6161704241,0.8128346828,0.7714656382,0.2642109513
11,0.0001,0.1711550649,0.9120145099,0.9120462529,0.9343763244,0.9776064425,0.7253110491,0.8730615534,0.8131528056,0.4897187884,0.7901902957,0.9778305496,0.8326760996,0.5600642379,0.8861803654,0.8906920177,0.9719741028,0.7958749755,0.8288810601,0.9322294313,0.8969490084,0.6574647406,1.119954993,0.8097844149,0.811141089,0.8938287865,0.9145989543,0.5571331525,0.7275354298,0.7263052365,0.2175587912,0.8619637761,0.7794244545,0.8591735989,0.9472932748,0.6536151149,0.9161657675,0.8244550081,0.2202245693,0.6803688406,0.8422813416,0.8414563324,0.3573688478
12,0.0001,0.1207321832,0.9117614151,0.9117766205,0.9365801125,0.9751660971,0.7262342336,0.8716340728,0.8201125816,0.4869560464,0.7806460518,0.9866422535,0.8311779523,0.5241179495,0.9129898641,0.8820427932,0.9840263122,0.8729004869,0.8291840846,0.931415051,0.9011668727,0.6549703302,1.217648036,0.7832045869,0.7838903644,0.8723195242,0.9101992853,0.5733072876,0.6956245199,0.6480959755,0.3762013673,0.8227782882,0.7589787826,0.8143778478,0.8949782342,0.6822875452,0.8928593285,0.7604272992,0.3935760079,0.7178987759,0.8204935842,0.7864784395,0.5467243039
13,0.0001,0.116212665,0.9157251161,0.9157355942,0.9392999034,0.9764147347,0.7352284336,0.8773498783,0.8265225524,0.5018128702,0.7878254455,0.9871266896,0.8375937961,0.5387558507,0.917181683,0.8875044287,0.9842595234,0.8797810967,0.8359892475,0.9346684797,0.9050231011,0.6682761616,1.192527021,0.7949508393,0.7971582013,0.8824260963,0.910317381,0.5650890903,0.7153533295,0.6767669892,0.3031469523,0.8425348511,0.7866990475,0.791763701,0.9491418048,0.6729830771,0.8874874641,0.8233093006,0.3081524665,0.702180517,0.8340594525,0.8072284265,0.4652536719
14,0.0001,0.1685165502,0.9161468733,0.9161605121,0.9373558177,0.9787774168,0.7350202424,0.8789677615,0.8200851688,0.506007797,0.7983324296,0.9782553852,0.8400695319,0.5766723718,0.8911124528,0.8964829351,0.9718098481,0.8050445751,0.8362405774,0.9355857822,0.9011503229,0.6719856271,1.42483497,0.786647497,0.7868477786,0.88361099,0.9028362254,0.5519708276,0.7018093793,0.6810091067,0.2730939969,0.8387035767,0.7527299816,0.8458760902,0.9175046585,0.6565114829,0.9120836185,0.7774823114,0.2799685188,0.6880142621,0.824780246,0.8102384502,0.4290240902
15,0.0001,0.1136196193,0.9170732631,0.9170786955,0.9396047597,0.9774630711,0.740735259,0.8792759157,0.8272067583,0.5157231028,0.7923973289,0.9874169192,0.8384790611,0.5512960063,0.9206812873,0.8892398422,0.9840079202,0.8887960995,0.8405637397,0.9357603195,0.9054331202,0.6804977794,1.504035768,0.7695889045,0.76993241,0.8697627633,0.8994826357,0.525402197,0.6814419624,0.6533354217,0.2414292068,0.8377540283,0.7441479028,0.8033953572,0.9657188249,0.6370461581,0.8899508772,0.7776713892,0.2435162079,0.6632741615,0.810544732,0.7903241086,0.3889536438
16,0.0001,0.108411036,0.9204373026,0.9204402856,0.9427309451,0.9777033746,0.7462580351,0.884075859,0.8348738187,0.5198244275,0.7958934662,0.9883717071,0.8452954173,0.5540132742,0.9242325812,0.8933679954,0.9854474713,0.893882277,0.8441789777,0.938471617,0.9100067919,0.6840585242,1.322039836,0.7939213279,0.7961992732,0.8815004726,0.91014291,0.5510455487,0.7112021232,0.6881370878,0.2537974352,0.8403484573,0.7749324319,0.8186479569,0.927464983,0.655730576,0.896350544,0.8119041212,0.2589370627,0.6837796949,0.8312309966,0.815262093,0.4048459952
17,0.0001,0.1061252373,0.9225121828,0.9225160757,0.9440165699,0.9784917199,0.7511204069,0.8871159609,0.8379588283,0.5282864314,0.8004021863,0.9882612205,0.848572664,0.5643726744,0.924630054,0.8965633668,0.985292935,0.8920338601,0.8477876164,0.9401817156,0.911836343,0.6913447905,1.264993374,0.8035305731,0.804925199,0.8808432025,0.9212927447,0.5979959802,0.7184763879,0.6810232884,0.3944882643,0.8378021068,0.783602114,0.826207896,0.9035963103,0.7010106799,0.8963173085,0.7948939533,0.4118207778,0.7374029912,0.8361783646,0.8102484874,0.5657821214
18,0.0001,0.1041457215,0.9240906682,0.924098171,0.9453699271,0.9787132383,0.7549749906,0.8893758487,0.8412259864,0.5343231369,0.8023592689,0.9887332992,0.8520789784,0.5662655291,0.9293588361,0.8984815223,0.9850847496,0.9045102362,0.8505700725,0.9414493673,0.9137672318,0.6964936186,1.383371139,0.7770153662,0.7772574967,0.8445915633,0.9321816724,0.5592862789,0.6897726216,0.6069630645,0.3811231507,0.8280341247,0.7643075398,0.7803046046,0.9394902299,0.6663045351,0.8761329745,0.7320666203,0.3907140107,0.7079094454,0.8164088028,0.7554163227,0.5519032108
19,0.0001,0.1011070546,0.9263813538,0.9263858529,0.9465164305,0.9798604243,0.7616788527,0.8926871451,0.8440986609,0.5482507522,0.808454879,0.9890062355,0.854687027,0.5816713746,0.9307705495,0.9016341367,0.9855355829,0.905141929,0.855660079,0.9433013241,0.9154593284,0.7082195844,1.355213684,0.7981052513,0.8009692894,0.8973745472,0.897866666,0.5263346509,0.714280655,0.7355088124,0.1292144854,0.8665999419,0.7731514718,0.8365659806,0.9900823733,0.630659455,0.9036670152,0.8589294004,0.1293819493,0.6365957961,0.8333298902,0.8476002048,0.2288572933
20,0.0001,0.09842025698,0.9279740435,0.9279797437,0.9479217556,0.9800465876,0.7646229855,0.8949917771,0.8475928046,0.5512843747,0.8104462576,0.9892290941,0.8581415957,0.583968083,0.9324456975,0.9037991488,0.9857043746,0.9078335692,0.8576141932,0.9445864493,0.9175103978,0.7107457326,1.278306295,0.7847459074,0.7853445179,0.8515044344,0.9326428625,0.5648789198,0.6976965004,0.6271898741,0.3697503849,0.8251390968,0.7724141586,0.7925256623,0.9104774696,0.6707783851,0.8782362929,0.7503988172,0.3837000452,0.7109000739,0.8219331314,0.7708871399,0.5398799504
21,0.0001,0.09459783603,0.9297695424,0.9297734527,0.9490295959,0.9807360362,0.7699155594,0.897583844,0.8503372341,0.5618256002,0.8144722936,0.9895048485,0.8610286819,0.5928833503,0.935510526,0.9062111503,0.9856076479,0.9147127798,0.861530457,0.946028126,0.9191159518,0.7194472931,1.283753839,0.7900003216,0.7935711981,0.8827074245,0.9037220207,0.5641139668,0.6961796917,0.702490582,0.2936716268,0.8508383357,0.7593660798,0.8248850836,0.9682638436,0.6717932336,0.8932376758,0.8256161932,0.2965258316,0.7000475828,0.8208796451,0.8252504764,0.4540126269
22,0.0001,0.09487831197,0.9312734595,0.931277256,0.9500955187,0.9811741443,0.7733744816,0.8997895236,0.85297508,0.5673588412,0.8175215133,0.9893950229,0.8639261593,0.5992433576,0.9360559746,0.9085520789,0.9853567508,0.9142590942,0.8639581646,0.9472518007,0.9206546695,0.7239680235,1.479414836,0.7885757264,0.7886051018,0.8656489207,0.9228974302,0.5794722954,0.702268848,0.6406320437,0.3955159945,0.8403283159,0.7725713215,0.7937161676,0.9546974586,0.6856569334,0.8852869841,0.7686027462,0.4030810697,0.7242978081,0.825097456,0.7809576146,0.5668383537
23,0.0001,0.09172046396,0.9327020861,0.9327037737,0.9512316513,0.9814687472,0.7768436343,0.9017979089,0.8559885344,0.5727444597,0.81969705,0.990204991,0.8660987056,0.6027874533,0.9388025244,0.9099147993,0.9865463334,0.9199464405,0.8663694277,0.9483635508,0.9224071361,0.7283375963,1.15497235,0.8158654767,0.8167086847,0.8797453007,0.935276968,0.6149463171,0.7295007958,0.6955409096,0.4197972458,0.8447833962,0.8115648832,0.8087731573,0.9140121482,0.7159195324,0.8782614935,0.8324389371,0.4370581664,0.7517935098,0.8435969472,0.8204354205,0.5913481618
24,0.0001,0.08950656954,0.934101271,0.9341030039,0.9522627643,0.9818367738,0.7804419788,0.9038329035,0.8585685232,0.5789245098,0.8222637005,0.9903032421,0.8689564433,0.607531416,0.9409843789,0.9119033078,0.9862674767,0.9247823523,0.86890188,0.9494876381,0.9239030064,0.7333149953,1.3286174,0.7976976041,0.7981486977,0.861980324,0.9352661864,0.5492603257,0.7151039168,0.6589235924,0.273753468,0.8484023919,0.7670720628,0.8514460416,0.9266890714,0.6459295712,0.9134591728,0.7445162112,0.2798133296,0.6860421032,0.8338898999,0.794398965,0.4298374447
25,0.0001,0.08808471915,0.9354821969,0.935483733,0.9532224077,0.9822582532,0.783790087,0.9058357485,0.8610599269,0.5844745856,0.8252037094,0.9904627318,0.8712293292,0.6139190672,0.9415318537,0.9138063202,0.986625368,0.9241638728,0.8712290413,0.9505916228,0.9253435791,0.7377519221,1.375444053,0.790485679,0.791734113,0.8973614356,0.8918758095,0.5577235851,0.6878926086,0.743114812,0.2421633346,0.8585927512,0.7334658027,0.877498581,0.9648138698,0.6635360672,0.9171575558,0.8291295804,0.2443210655,0.6858749745,0.8150904922,0.8526286471,0.3899057843
26,0.0001,0.08662824941,0.9361303311,0.9361320766,0.9536007133,0.9825278722,0.7858538029,0.9067744006,0.8620273141,0.588759694,0.826821012,0.990560337,0.8722277159,0.6176749831,0.9425461552,0.9146783327,0.9866151305,0.9263450026,0.8727221668,0.9511082174,0.9259019001,0.7411563828,1.16330445,0.838630859,0.8390747801,0.9058791749,0.932307763,0.6271081023,0.7642933101,0.7463531571,0.3706778398,0.8781829256,0.8191927021,0.8622737158,0.953082359,0.7147735845,0.9193844952,0.847368772,0.3775674864,0.754008613,0.8664016416,0.854756272,0.5408679253
27,0.0001,0.08544392014,0.9371187995,0.9371201195,0.9543547438,0.9827627358,0.7882518788,0.9082312209,0.8638953027,0.5926291128,0.8286358618,0.9904048602,0.8745963496,0.6209063757,0.9436550875,0.91629372,0.9860347182,0.9286368243,0.8743673946,0.9519089835,0.926978357,0.7442148433,1.553964158,0.7735206924,0.7753557673,0.8551902543,0.9164953632,0.5400916663,0.6835906116,0.6351970095,0.3014873777,0.8342951951,0.7641255991,0.7695208627,0.9692391235,0.6517503116,0.8664171255,0.7844338271,0.3043999823,0.6840883992,0.8120627507,0.7769057866,0.4632966602
28,0.0001,0.08267487096,0.9384942275,0.9384958816,0.9556417816,0.9828507918,0.7908441667,0.9101899331,0.8673243618,0.5950182051,0.8299914095,0.9910101918,0.8774262051,0.6215378315,0.9459190066,0.9177676271,0.9868996923,0.9330897003,0.8760094378,0.9529836979,0.9289487992,0.7460958165,1.253151793,0.8281583044,0.8287009508,0.9090840231,0.9185316349,0.6226298161,0.757547524,0.7271760018,0.3831659226,0.8668982561,0.8184200505,0.8268944346,0.9553802831,0.7194981891,0.9105952554,0.8577516044,0.3901477076,0.752710994,0.8620506856,0.8420404186,0.5540418778
29,0.0001,0.0815937112,0.9396250644,0.9396260124,0.9561249425,0.9834991739,0.7948244583,0.9118345059,0.8686071066,0.6040317623,0.8338173247,0.9910950431,0.8785503784,0.6318065526,0.9462209227,0.9193666966,0.9871377478,0.9321583238,0.8789034301,0.9538843483,0.9296840449,0.7531418971,1.353950822,0.8099847211,0.81140589,0.89083675,0.9177268023,0.5823562711,0.7387413751,0.6850139409,0.3233134973,0.8553144338,0.8058674724,0.7982830271,0.9617928019,0.6848659296,0.8986705138,0.8284072343,0.3275200408,0.7171504032,0.8497426767,0.8130661999,0.488642333
30,0.0001,0.0813078803,0.9403231746,0.9403239695,0.9565300978,0.983792282,0.7972128642,0.9128419797,0.8696644852,0.6091321277,0.8355857631,0.9912489323,0.8796169132,0.6358914437,0.9475982954,0.9202582171,0.9871568983,0.9353797709,0.8806062226,0.9544353265,0.9302893562,0.7570939853,1.317121938,0.8051182182,0.8058015287,0.8878174285,0.9166174792,0.5811549639,0.7152903314,0.7131277926,0.3150467678,0.8516663088,0.7899568589,0.8154357149,0.9496063527,0.6846907656,0.8832815803,0.8503871597,0.3204035568,0.7152343143,0.8340166306,0.8325447706,0.4791415416
31,0.0001,0.07955730817,0.9413146771,0.941315526,0.9572771246,0.9840367036,0.7997715849,0.9142874323,0.8715969024,0.6134304198,0.8374473552,0.9912966699,0.8817334417,0.6393119541,0.9489195129,0.9216859983,0.9869819502,0.9380905901,0.8823412737,0.9552248182,0.9313938287,0.7604051743,1.446360354,0.7958203618,0.7968480459,0.8718333901,0.9229592877,0.5897925894,0.7093282229,0.6598906875,0.4001588577,0.8423815223,0.7765969544,0.8100392251,0.9405083874,0.6941430504,0.8911739651,0.7807044921,0.4105506939,0.7322139106,0.8299496999,0.7951013792,0.5715906527
32,0.0001,0.07734812738,0.9421349846,0.9421355781,0.9580057149,0.9841286763,0.8013733261,0.9154613803,0.8735714471,0.6150871508,0.8385000986,0.9916075909,0.883312168,0.6405805368,0.9497912129,0.9226097146,0.9875339039,0.93923002,0.8833539657,0.95586514,0.9325200258,0.7616767312,1.422855307,0.8052507046,0.8061207297,0.8886012917,0.9157793879,0.5783456238,0.7220429648,0.7030887713,0.3099051352,0.8541779724,0.7844393242,0.8292624745,0.9488321185,0.6793452069,0.9007683998,0.8220948225,0.3151723983,0.712474587,0.838588792,0.825663093,0.4731718762
33,0.0001,0.0734391461772277,0.946257441029112,0.94625844650143,0.96115741697778,0.985099018579014,0.811477681081317,0.92145874709948,0.881978609467479,0.630995686676991,0.846447196102811,0.992013239526271,0.891608511959364,0.655719836822796,0.953287398452297,0.928345887019559,0.987902277508678,0.943614030828655,0.890056002023185,0.959124153399052,0.937288665220394,0.773755187450109,1.43231730841234,0.803121920831189,0.803980159188459,0.8825472072213,0.91971647525262,0.559520704968591,0.711038634584624,0.714227357655117,0.25329612266603,0.853043794466165,0.784383759161831,0.823555121200955,0.951192503035709,0.66122458563332,0.883776982912765,0.843265183348246,0.25663159063895,0.689540293199037,0.831119321527902,0.833293617002187,0.404207941067022
34,0.0001,0.0715258456568302,0.945993616993841,0.945994451644467,0.960993040806617,0.984999741536598,0.810767669455955,0.921053860500913,0.881589507319016,0.629659640547936,0.84564978968473,0.992266031521524,0.890817023973268,0.653866313559398,0.953523474073811,0.927713846856067,0.988386669213785,0.94446990615158,0.889574517161023,0.958904775541043,0.937068902481537,0.772749873460489,1.20001833149773,0.811266048225814,0.811852917699757,0.877658501356662,0.93302067739521,0.555923198013838,0.708316689415715,0.732312324013388,0.22714058061241,0.859312595587441,0.792768520586868,0.830373516261321,0.954795749914134,0.653336449185609,0.869266171867734,0.861133408648007,0.229609767041086,0.6816418489558,0.829256886339217,0.845473779547429,0.370194880980754
35,0.0001,0.0717463275734253,0.946126123493591,0.946127482374496,0.961038968763916,0.98508579584877,0.811304283415991,0.921247481283201,0.881716922860905,0.630948446103868,0.846183005360407,0.992279037799925,0.890912569792469,0.655357408488826,0.953529291313435,0.927898904544546,0.988429194594999,0.944259774800759,0.889956746993058,0.95900969574198,0.937140876081885,0.773719669155308,1.71850227417346,0.78095263635327,0.782162420763941,0.873696607030081,0.906046244912519,0.532969799927228,0.694063319899693,0.671477121759817,0.233368958122172,0.8438332765777,0.77348774063486,0.777806194081211,0.980205895017027,0.645481829349606,0.871121554820684,0.830849990486948,0.234473942741186,0.667095120722161,0.819406584989499,0.803453559700668,0.378425217476316
36,0.0001,0.0711910370866364,0.946945820999298,0.946946325545488,0.961609291486972,0.985336024966137,0.813679187447292,0.922438159392485,0.883247907445684,0.635351495503706,0.84800319509991,0.992375463472511,0.892462573136603,0.659171548690615,0.954550752888807,0.929022326477039,0.988445275789749,0.946184656399632,0.891560232082847,0.959654441769902,0.938004926389862,0.777021328088777,1.62751222477702,0.795310197476142,0.797369357354627,0.883952432049963,0.909298605547694,0.544096391330418,0.711428140165373,0.699356167655372,0.221504866170508,0.856419601807775,0.779692674788068,0.810838781989356,0.9787273486459,0.649566525422732,0.890419045041198,0.835704090574543,0.222576440652455,0.672381468287535,0.831385348208697,0.823083684190596,0.362675372463313
37,0.00005,0.06372432463,0.9513366084,0.9513369609,0.9646773253,0.9866589306,0.8263922897,0.928788753,0.8917201036,0.6586680126,0.8579466406,0.9934390307,0.8998106268,0.6805902644,0.9593052897,0.934521105,0.990017489,0.9533772752,0.90001805,0.9630798101,0.942761143,0.794213197,1.219322714,0.8140210363,0.8152919472,0.8898849944,0.9228651309,0.6047026347,0.7179805149,0.7311390108,0.3649883785,0.8630157383,0.794245892,0.8268861963,0.9679151265,0.7049250688,0.8820368128,0.8632800142,0.3694583794,0.7384399265,0.8358424425,0.8446912769,0.53478606
38,0.00005,0.05997991169,0.9536979102,0.9536981681,0.9665161885,0.9871814637,0.8325640948,0.9322221186,0.8968058368,0.668664329,0.8624600375,0.9938035039,0.904715404,0.6888612046,0.9620040913,0.9376723655,0.9903455164,0.9579943919,0.90398491,0.9649223136,0.9455958215,0.8014365949,2.121950175,0.7764665981,0.7777137528,0.8998244051,0.8753950382,0.5289758799,0.6917459671,0.7139794798,0.1812021927,0.848654736,0.7523168393,0.809460262,0.9841871067,0.6452300979,0.8957441597,0.8582148548,0.1817312793,0.6525746919,0.8177894087,0.8331248865,0.3068097804
39,0.00005,0.05878928639,0.9551030464,0.9551033374,0.9675509179,0.9875518375,0.8363628514,0.9342711668,0.8997006256,0.6751167619,0.8657011561,0.9939429927,0.9074240776,0.695736398,0.9627319999,0.9396207775,0.9906283965,0.9579468256,0.9064249085,0.9660188114,0.9472025365,0.8060533775,1.335772355,0.8082718078,0.8093940598,0.8794017038,0.9277478521,0.5679761881,0.7115370774,0.7206794407,0.2717120463,0.8656191763,0.7904255108,0.8237051285,0.9827268897,0.6673723363,0.876987747,0.8521133448,0.2730159171,0.6988150379,0.8314597291,0.8376684507,0.4273169339
40,0.00005,0.05763315738,0.9562182421,0.9562187053,0.9684326477,0.9877851313,0.8391475205,0.9358921987,0.9021939219,0.6793564408,0.8679257113,0.9941478317,0.9096334263,0.699995876,0.9634989652,0.9410768164,0.9910162333,0.958403846,0.9081782361,0.9668846223,0.9485824883,0.8090675978,1.909949353,0.7742282616,0.7801531946,0.8693363852,0.8989669434,0.5339687715,0.6848795787,0.668010751,0.249015985,0.838042307,0.7548647908,0.790894511,0.9683676191,0.6477091564,0.8807700321,0.8112992761,0.2510581611,0.6708926587,0.8129715468,0.8009669608,0.3987394685
